"publication_id","experiment_id","treatment_id","nsamp","t1","t2","w1","w2","errorw1","errorw2","igr.mu","igr.sd","fr.mu","fr.sd","prey_type","exp_id","experiment","t","main_prey","Rcomma","Temperature","case"
"dom_02",2,2,30,80,90,NA,NA,NA,NA,1.532338,0.571206259411005,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",85,"medium_shrimp",1,15,3
"dom_02",2,2,30,90,100,12.55937,16.2533,4.43272,5.91029,2.960199,1.1,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",95,"medium_shrimp",1,15,2
"dom_02",2,2,30,100,110,16.2533,19.20844,5.91029,7.38786,1.323383,0.5,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",105,"medium_shrimp",1,15,2
"dom_02",2,2,30,110,120,19.20844,23.64116,7.38786,11.08179,2.228856,2.3,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",115,"medium_shrimp",1,15,2
"dom_02",2,2,30,120,130,23.64116,29.55145,11.08179,12.55937,2.333333,0.5,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",125,"medium_shrimp",1,15,2
"dom_02",2,2,30,130,140,29.55145,38.41689,12.55937,16.2533,2.402985,0.3,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",135,"medium_shrimp",1,15,2
"dom_02",2,2,30,140,150,38.41689,45.80475,16.2533,18.46966,2.0199,0.3,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",145,"medium_shrimp",1,15,2
"dom_02",2,2,30,150,160,45.80475,53.19261,18.46966,22.16359,1.288557,0.1,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",155,"medium_shrimp",1,15,2
"dom_02",2,2,30,160,170,53.19261,70.1847,22.16359,31.02902,2.751244,1.3,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",165,"medium_shrimp",1,15,2
"dom_02",2,2,30,170,180,70.1847,83.48285,31.02902,37.67811,1.776119,1.1,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",175,"medium_shrimp",1,15,2
"dom_02",2,2,30,180,190,83.48285,108.6016,37.67811,46.54358,2.646766,0.3,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",185,"medium_shrimp",1,15,2
"dom_02",2,2,30,190,200,108.6016,133.7203,46.54358,67.22955,1.985075,2.3,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",195,"medium_shrimp",1,15,2
"dom_02",2,2,30,200,210,133.7203,164.0106,67.22955,68.7071,2.0199,0.5,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",205,"medium_shrimp",1,15,2
