"publication_id","experiment_id","treatment_id","nsamp","t1","t2","w1","w2","errorw1","errorw2","igr.mu","igr.sd","fr.mu","fr.sd","prey_type","exp_id","experiment","t","main_prey","Rcomma","Temperature","case","z1","z2","Index.t","Index.e","Index.no","Index.food"
"dom_01b",2,3,20,30,40,2.774566,4.855491,1.618497,1.618497,6.13,0.9,NA,NA,"grass_shrimp","dom_01b_2_3","dom_01b_2",35,"medium_shrimp",1,27,2,0.599999999999999,1,24,13,1,3
"dom_04",1,1,90,15,22,0.25,0.36,0.056,0.076,6.1,0.2,NA,NA,"mysids","dom_04_1_1","dom_04_1",18.5,"small_shrimp",1,20,1,0.599999999999999,0.517241379310345,7,7,1,1
"syk_06",1,1,27,0,10,NA,NA,NA,NA,5.577428,1.41710527087364,NA,NA,"grass shrimp","syk_06_1_1","syk_06_1",5,"medium_shrimp",1,17,3,0.599999999999999,0.310344827586207,30,21,1,3
"dom_03a",1,1,24,30,35,1.505263,1.847368,0.426315,0.536842,4.05674880541347,0.4,NA,NA,"crangon","dom_03a_1_1","dom_03a_1",32.5,"medium_shrimp",0.714285714285714,19,4,0.428571428571427,0.448275862068966,27,18,1,3
"bae_10",1,1,30,14,21,0.1208738,0.149,0.0247573,0.009,3.25608301424409,0.4,NA,NA,"caprellids","bae_10_1_1","bae_10_1",17.5,"amphipods",1,20.5,4,0.599999999999999,0.551724137931034,13,1,1,5
"kou_01",1,6,12,24,44,NA,NA,NA,NA,5.460751,0.600683,8,NA,"mysids;crangon","kou_01_1_6","kou_01_1",34,"shrimp_mix",0.571428571428571,20,1,0.342857142857142,0.517241379310345,4,4,1,4
"dom_04",1,1,90,22,29,0.36,0.496,0.076,0.086,5.3,0.2,NA,NA,"mysids","dom_04_1_1","dom_04_1",25.5,"small_shrimp",1,20,1,0.599999999999999,0.517241379310345,7,7,1,1
"dom_03a",1,1,24,5,10,0.3,0.4368421,0.1578948,0.2,8.0580131106269,0.4,NA,NA,"crangon","dom_03a_1_1","dom_03a_1",7.5,"medium_shrimp",0.714285714285714,19,4,0.428571428571427,0.448275862068966,27,18,1,3
"dom_01a",1,1,5,30,40,NA,NA,NA,NA,7.3,0.7,16.7,1,"grass_shrimp","dom_01a_1_1","dom_01a_1",35,"medium_shrimp",1,27,1,0.599999999999999,1,28,19,1,3
"kou_01",1,2,12,24,44,NA,NA,NA,NA,-0.1365188,0.4368601,0,NA,"mysids;crangon","kou_01_1_2","kou_01_1",34,"shrimp_mix",0.0285714285714286,20,1,0.0171428571428571,0.517241379310345,41,4,1,4
