doi;first_author;year;facility;experiment;treatment;exp_id;included;reason_for_exclusion;t_initial;t_final;Temperature;weaning_prey;weaning_duration;main_prey;prey_status;ration_bw_perc;egg type;photoperiod;volume_l;animal_per_tank;density_animals_liter;notes
10.1111/j.1365-2109.2012.03186.x;Sykes A;2013;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;1;syk_13_1_1;y;;1;50;24;grass shrimp;25;grass shrimp;frozen;libitum;cultured spawners;natural;10;35;3.5;live prey before weaning
10.1111/j.1365-2109.2012.03186.x;Sykes A;2013;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;2;syk_13_1_2;n;frozen prey to post hatclings;1;50;24;NA;NA;grass shrimp;frozen;libitum;cultured spawners;natural;10;35;3.5;3
10.1111/j.1365-2109.2012.03186.x;Sykes A;2013;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;3;syk_13_1_3;n;frozen prey to post hatclings;1;50;24;grass shrimp;5;grass shrimp;frozen;libitum;cultured spawners;natural;10;35;3.5;live prey before weaning
https://doi.org/10.1111/j.1365-2109.2004.01137.x;Grigoriou;2004;Marine biological association aquarium Plymouth;1;1;gri_04_1_1;y;;49;84;19;mysids/grass shrimps;49;crangon;live;libitum;wild spawner laid in lab;16:08;8;10;1.25;
https://doi.org/10.1016/0022-0981(89)90047-6;Clarke;1989;Marine biological association aquarium Plymouth;1;2;cla_89_1_2;y;;41;55;12.5;mysids;;mysids;live;0;wild spawner laid in lab;;;;;
https://doi.org/10.1016/0022-0981(89)90047-6;Clarke;1989;Marine biological association aquarium Plymouth;1;3;cla_89_1_3;y;;41;55;12.5;mysids;;mysids;live;0.3 mysids;wild spawner laid in lab;;;;;
https://doi.org/10.1016/0022-0981(89)90047-6;Clarke;1989;Marine biological association aquarium Plymouth;1;4;cla_89_1_4;y;;41;55;12.5;mysids;;mysids;live;0.6 mysids;wild spawner laid in lab;;;;;
https://doi.org/10.1016/0022-0981(89)90047-6;Clarke;1989;Marine biological association aquarium Plymouth;1;5;cla_89_1_5;y;;41;55;12.5;mysids;;mysids;live;1 mysids;wild spawner laid in lab;;;;;
https://doi.org/10.1016/0022-0981(89)90047-6;Clarke;1989;Marine biological association aquarium Plymouth;1;6;cla_89_1_6;y;;41;55;12.5;mysids;;mysids;live;2 mysids;wild spawner laid in lab;;;;;
https://doi.org/10.1016/0022-0981(89)90047-6;Clarke;1989;Marine biological association aquarium Plymouth;1;7;cla_89_1_7;y;;41;55;12.5;mysids;;mysids;live;3 mysids;wild spawner laid in lab;;;;;
